Statuary_service_1_April_2010,statutory_service_on_1_July_2016,Did_the_new_building_replace_an_existing_library: Yes/No
Yes,Yes,
Yes,No,
No,Yes,Yes
Yes,No,
Yes,Yes,
Yes,No,
Yes,No,
Yes,Yes,
Yes,No,
Yes,Yes,
Yes,Yes,
yes,No,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
Yes,No,
Yes,No,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,no,
no,no,
yes,yes,Yes
no,no,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,no,
yes,no,
yes,yes,
yes,yes,Yes
yes,yes,
yes,no,
yes,yes,
yes,no,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,yes,Yes
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
no,no,
yes,yes,
no,no,
yes,yes,
no,no,
yes,yes,
yes,yes,
no,no,
yes,no,
no,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
no,no,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
Yes,no,
Yes,no,
Yes,Yes,
Yes,Yes,
Yes,no,
Yes,Yes,
Yes,Yes,
Yes,no,
Yes,no,
Yes,no,
No,Yes,Yes
Yes,Yes,Yes
Yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes will be replaced by Bishopston
yes,yes,
yes,No,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
No,yes,Yes
yes,yes,
yes,yes,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
Yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
no,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,no,
yes,yes,
no,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
No,no,
No,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,no,
no,no,
yes,yes,
no,no,
yes,yes,
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
no,no,
no,no,
yes,yes,
no,no,
no,yes,Yes
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
No,yes,Yes
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
Yes,No,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
No,yes,Yes
yes,yes,
Yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,yes,
no,no,
yes,yes,
yes,yes,
no,no,
yes,yes,
no,no,
yes,yes,
yes,yes,
yes,yes,
no,no,
no,no,
no,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,no,
no,no,
yes,yes,
no,no,
yes,yes,
yes,yes,
no,no,
yes,yes,
no,no,
no,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,no,
yes,yes,
no,no,
yes,yes,
yes,yes,
no,no,
yes,yes,
no,no,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
no,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
No,No,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
No,No,No
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
No,No,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,No
yes,yes,
yes,no,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,Yes
yes,yes,
yes,No,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,yes,
yes,no,
yes,yes,No
yes,yes,
yes,yes,
yes,no,
no,yes,Yes
yes,yes,No
yes,yes,
yes,yes,
no,yes,Yes
yes,yes,
yes,yes,
